100V_1000H;13129
100V_1100H;10943
100V_1200H;12046
100V_1400H;11928
100V_1600H;12076
100V_2000H;12981
100V_2500H;15126
100V_3300H;12590
100V_5000H;11945
200V_4000H;120257
200V_4400H;84719
200V_5000H;99495
200V_5600H;90718
200V_6600H;91116
200V_8000H;84340
200V_10000H;76612
200V_13200H;91228
200V_20000H;86109
300V_9000H;269049
300V_9900H;258979
300V_11100H;269473
300V_12600H;255141
300V_15000H;262187
300V_18000H;246575
300V_22500H;258868
300V_30000H;239091
300V_45000H;257105
400V_16000H;610037
400V_17600H;582519
400V_20000H;639371
400V_22800H;645343
400V_26400H;623162
400V_32000H;632297
400V_40000H;637441
400V_53200H;624408
400V_80000H;619157
500V_25000H;1208924
500V_27500H;1183408
500V_31000H;1180568
500V_35500H;1221088
500V_41500H;1223343
500V_50000H;1206684
500V_62500H;1126049
500V_83000H;1181617
500V_125000H;1213523
600V_36000H;2212736
600V_39600H;2360074
600V_45000H;2070517
600V_51000H;2041470
600V_60000H;2069472
600V_72000H;1966427
600V_90000H;2058282
600V_120000H;1993831
600V_180000H;2054567
700V_49000H;3228255
700V_53900H;3320975
700V_60900H;3258336
700V_70000H;2995046
700V_81200H;3081085
700V_98000H;3529179
700V_122500H;3625139
700V_163100H;3654480
700V_245000H;3545219
800V_64000H;4777875
800V_70400H;4598855
800V_80000H;4693050
800V_91200H;4725257
800V_106400H;4795768
800V_128000H;4766636
800V_160000H;4404378
800V_212800H;4439866
800V_320000H;4639103
900V_81000H;6710451
900V_90000H;6465155
900V_100800H;6585674
900V_115200H;7023425
900V_135000H;6874089
900V_162000H;6940252
900V_202500H;6930601
900V_270000H;7546380
900V_405000H;7104583
1000V_100000H;9004420
1000V_111000H;9287331
1000V_125000H;9623577
1000V_142000H;9068716
1000V_166000H;9008851
1000V_200000H;9469053
1000V_250000H;8866996
1000V_333000H;9031619
1000V_500000H;8843756
