100V_1000H;30390
100V_1100H;34489
100V_1200H;29595
100V_1400H;27782
100V_1600H;34888
100V_2000H;37482
100V_2500H;28874
100V_3300H;23616
100V_5000H;23517
200V_4000H;79565
200V_4400H;82697
200V_5000H;85978
200V_5600H;82281
200V_6600H;77157
200V_8000H;71516
200V_10000H;67141
200V_13200H;71642
200V_20000H;72367
300V_9000H;182174
300V_9900H;190473
300V_11100H;187902
300V_12600H;186676
300V_15000H;181999
300V_18000H;183630
300V_22500H;184347
300V_30000H;183353
300V_45000H;181221
400V_16000H;362769
400V_17600H;374368
400V_20000H;402256
400V_22800H;381267
400V_26400H;426517
400V_32000H;376264
400V_40000H;355663
400V_53200H;408271
400V_80000H;396615
500V_25000H;679555
500V_27500H;670928
500V_31000H;690595
500V_35500H;686468
500V_41500H;676965
500V_50000H;651635
500V_62500H;681695
500V_83000H;654250
500V_125000H;645971
600V_36000H;1016095
600V_39600H;1065589
600V_45000H;1069668
600V_51000H;1082906
600V_60000H;1033500
600V_72000H;1039819
600V_90000H;1067687
600V_120000H;1019084
600V_180000H;1031774
700V_49000H;1588364
700V_53900H;1583767
700V_60900H;1736882
700V_70000H;1739214
700V_81200H;1726565
700V_98000H;1733001
700V_122500H;1725631
700V_163100H;1729453
700V_245000H;1772097
800V_64000H;2659590
800V_70400H;2580287
800V_80000H;2546555
800V_91200H;2611401
800V_106400H;2551644
800V_128000H;2619231
800V_160000H;2511358
800V_212800H;2517167
800V_320000H;2521370
900V_81000H;3525996
900V_90000H;4639801
900V_100800H;3953163
900V_115200H;3565909
900V_135000H;3536353
900V_162000H;3553089
900V_202500H;3516681
900V_270000H;3603845
900V_405000H;3519168
1000V_100000H;4828888
1000V_111000H;4828802
1000V_125000H;4833411
1000V_142000H;4870604
1000V_166000H;4824717
1000V_200000H;4793090
1000V_250000H;4812335
1000V_333000H;4799536
1000V_500000H;4794532
